"","strain","hit_score.methylmalonyl-CoA-carboxyltransferase13S","hit_id.methylmalonyl-CoA-carboxyltransferase13S","description.methylmalonyl-CoA-carboxyltransferase13S","hit_score.methylmalonyl-CoA-carboxyltransferase5S","hit_id.methylmalonyl-CoA-carboxyltransferase5S","description.methylmalonyl-CoA-carboxyltransferase5S","hit_score.methylmalonyl-CoA-decarboxylaseBeta","hit_id.methylmalonyl-CoA-decarboxylaseBeta","description.methylmalonyl-CoA-decarboxylaseBeta","hit_score.methylmalonyl-CoA-decarboxylaseGamma","hit_id.methylmalonyl-CoA-decarboxylaseGamma","description.methylmalonyl-CoA-decarboxylaseGamma","hit_score.methylmalonyl-CoA-carboxyltransferase12S","hit_id.methylmalonyl-CoA-carboxyltransferase12S","description.methylmalonyl-CoA-carboxyltransferase12S","hit_score.methylmalonyl-CoA-decarboxylaseAlpha","hit_id.methylmalonyl-CoA-decarboxylaseAlpha","description.methylmalonyl-CoA-decarboxylaseAlpha","hit_score.methylmalonyl-CoA-mutase","hit_id.methylmalonyl-CoA-mutase","description.methylmalonyl-CoA-mutase","hit_score.methylmalonyl-CoA-epimerase","hit_id.methylmalonyl-CoA-epimerase","description.methylmalonyl-CoA-epimerase","pathway","hit_score.lcdC","hit_id.lcdC","description.lcdC","hit_score.pct","hit_id.pct","description.pct","hit_score.lcdA","hit_id.lcdA","description.lcdA","hit_score.lcdB","hit_id.lcdB","description.lcdB","hit_score.fucO","hit_id.fucO","description.fucO","hit_score.pduW","hit_id.pduW","description.pduW","hit_score.pduL","hit_id.pduL","description.pduL","hit_score.pduP","hit_id.pduP","description.pduP","hit_score.pduC","hit_id.pduC","description.pduC","hit_score.pduD","hit_id.pduD","description.pduD","hit_score.Roseburia-inulivorans-pduCDE","hit_id.Roseburia-inulivorans-pduCDE","description.Roseburia-inulivorans-pduCDE","hit_score.pduE","hit_id.pduE","description.pduE"
"85","Parabacteroides_distasonis",NA,NA,NA,NA,NA,NA,610.1,"NZ_CP050956.1_2684/9-385","Parabacteroides_distasonis_methylmalonyl-CoA-decarboxylaseBeta",190.8,"NZ_CP050956.1_2685/1-142","Parabacteroides_distasonis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,941.2,"NZ_CP050956.1_2687/3-517","Parabacteroides_distasonis_methylmalonyl-CoA-decarboxylaseAlpha",863.3,"NZ_CP050956.1_761/14-712","Parabacteroides_distasonis_methylmalonyl-CoA-mutase",233.8,"NZ_CP050956.1_2688/1-135","Parabacteroides_distasonis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Parabacteroides_faecis",NA,NA,NA,NA,NA,NA,611,"NZ_JACHOC010000013.1_87/5-385","Parabacteroides_faecis_methylmalonyl-CoA-decarboxylaseBeta",191.6,"NZ_JACHOC010000013.1_88/1-142","Parabacteroides_faecis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,940.5,"NZ_JACHOC010000013.1_90/3-517","Parabacteroides_faecis_methylmalonyl-CoA-decarboxylaseAlpha",856,"NZ_JACHOC010000010.1_17/14-712","Parabacteroides_faecis_methylmalonyl-CoA-mutase",236.1,"NZ_JACHOC010000013.1_91/1-135","Parabacteroides_faecis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Parabacteroides_goldsteinii",NA,NA,NA,NA,NA,NA,611.7,"NZ_CP081906.1_612/10-385","Parabacteroides_goldsteinii_methylmalonyl-CoA-decarboxylaseBeta",192.6,"NZ_CP081906.1_613/1-142","Parabacteroides_goldsteinii_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,941.4,"NZ_CP081906.1_615/3-517","Parabacteroides_goldsteinii_methylmalonyl-CoA-decarboxylaseAlpha",860.5,"NZ_CP081906.1_5502/14-712","Parabacteroides_goldsteinii_methylmalonyl-CoA-mutase",235.8,"NZ_CP081906.1_616/1-135","Parabacteroides_goldsteinii_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Parabacteroides_gordonii",NA,NA,NA,NA,NA,NA,609.3,"NZ_JAIWZF010000001.1_106/5-385","Parabacteroides_gordonii_methylmalonyl-CoA-decarboxylaseBeta",191.4,"NZ_JAIWZF010000001.1_105/1-142","Parabacteroides_gordonii_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,940.6,"NZ_JAIWZF010000001.1_103/3-517","Parabacteroides_gordonii_methylmalonyl-CoA-decarboxylaseAlpha",861.2,"NZ_JAIWZF010000001.1_2525/14-712","Parabacteroides_gordonii_methylmalonyl-CoA-mutase",235.7,"NZ_JAIWZF010000001.1_102/1-133","Parabacteroides_gordonii_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Paraprevotella_clara",NA,NA,NA,NA,NA,NA,594.8,"NZ_CABMOJ010000016.1_80/7-383","Paraprevotella_clara_methylmalonyl-CoA-decarboxylaseBeta",175.7,"NZ_CABMOJ010000016.1_81/1-146","Paraprevotella_clara_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,931.8,"NZ_CABMOJ010000022.1_58/3-517","Paraprevotella_clara_methylmalonyl-CoA-decarboxylaseAlpha",858.5,"NZ_CABMOJ010000016.1_89/6-716","Paraprevotella_clara_methylmalonyl-CoA-mutase",226.4,"NZ_CABMOJ010000022.1_57/1-134","Paraprevotella_clara_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Paraprevotella_xylaniphila",NA,NA,NA,NA,NA,NA,594.6,"NZ_LR215980.1_3012/7-383","Paraprevotella_xylaniphila_methylmalonyl-CoA-decarboxylaseBeta",174.2,"NZ_LR215980.1_3011/1-146","Paraprevotella_xylaniphila_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,932.4,"NZ_LR215980.1_90/3-517","Paraprevotella_xylaniphila_methylmalonyl-CoA-decarboxylaseAlpha",860.7,"NZ_LR215980.1_3003/6-716","Paraprevotella_xylaniphila_methylmalonyl-CoA-mutase",222.3,"NZ_LR215980.1_91/1-134","Paraprevotella_xylaniphila_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Phascolarctobacterium_faecium",NA,NA,NA,NA,NA,NA,561.6,"NZ_AP019004.1_895/1-373","Phascolarctobacterium_faecium_methylmalonyl-CoA-decarboxylaseBeta",153.9,"NZ_AP019004.1_890/1-129","Phascolarctobacterium_faecium_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,889.4,"NZ_AP019004.1_888/1-508","Phascolarctobacterium_faecium_methylmalonyl-CoA-decarboxylaseAlpha",825.7,"NZ_AP019004.1_853/22-722","Phascolarctobacterium_faecium_methylmalonyl-CoA-mutase",176.2,"NZ_AP019004.1_887/1-135","Phascolarctobacterium_faecium_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Phascolarctobacterium_succinatutens",NA,NA,NA,NA,NA,NA,558.7,"NZ_CABKPS010000054.1_16/3-374","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-decarboxylaseBeta",153.3,"NZ_CABKPS010000046.1_69/1-129","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,885.1,"NZ_CABKPS010000046.1_67/1-508","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-decarboxylaseAlpha",802.4,"NZ_CABKPS010000015.1_42/14-721","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-mutase",175,"NZ_CABKPS010000046.1_66/1-140","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Phocaeicola_vulgatus",NA,NA,NA,NA,NA,NA,612.9,"NZ_AP025240.1_2480/8-385","Phocaeicola_vulgatus_methylmalonyl-CoA-decarboxylaseBeta",196.2,"NZ_AP025240.1_2481/1-143","Phocaeicola_vulgatus_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,941.7,"NZ_AP025240.1_2483/3-517","Phocaeicola_vulgatus_methylmalonyl-CoA-decarboxylaseAlpha",877.9,"NZ_AP025240.1_311/10-711","Phocaeicola_vulgatus_methylmalonyl-CoA-mutase",229.7,"NZ_AP025240.1_2484/1-137","Phocaeicola_vulgatus_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Porphyromonas_asaccharolytica",NA,NA,NA,NA,NA,NA,599.4,"NC_015501.1_898/6-383","Porphyromonas_asaccharolytica_methylmalonyl-CoA-decarboxylaseBeta",179,"NC_015501.1_126/1-143","Porphyromonas_asaccharolytica_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,935.3,"NC_015501.1_124/4-517","Porphyromonas_asaccharolytica_methylmalonyl-CoA-decarboxylaseAlpha",847.6,"NC_015501.1_527/14-713","Porphyromonas_asaccharolytica_methylmalonyl-CoA-mutase",219,"NC_015501.1_123/1-134","Porphyromonas_asaccharolytica_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Porphyromonas_endodontalis",NA,NA,NA,NA,NA,NA,608.3,"NZ_UGTE01000001.1_702/7-384","Porphyromonas_endodontalis_methylmalonyl-CoA-decarboxylaseBeta",166.2,"NZ_UGTE01000001.1_703/1-140","Porphyromonas_endodontalis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,910.5,"NZ_UGTE01000001.1_706/6-517","Porphyromonas_endodontalis_methylmalonyl-CoA-decarboxylaseAlpha",835.9,"NZ_UGTE01000001.1_169/32-713","Porphyromonas_endodontalis_methylmalonyl-CoA-mutase",218.6,"NZ_UGTE01000001.1_707/1-134","Porphyromonas_endodontalis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Porphyromonas_gingivalis",NA,NA,NA,NA,NA,NA,608,"NC_010729.1_469/9-382","Porphyromonas_gingivalis_methylmalonyl-CoA-decarboxylaseBeta",180.1,"NC_010729.1_468/1-147","Porphyromonas_gingivalis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,936.9,"NC_010729.1_465/6-517","Porphyromonas_gingivalis_methylmalonyl-CoA-decarboxylaseAlpha",847.6,"NC_010729.1_426/23-712","Porphyromonas_gingivalis_methylmalonyl-CoA-mutase",227,"NC_010729.1_464/1-133","Porphyromonas_gingivalis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Porphyromonas_uenonis",NA,NA,NA,NA,NA,NA,596.9,"NZ_KI535306.1_112/7-383","Porphyromonas_uenonis_methylmalonyl-CoA-decarboxylaseBeta",179,"NZ_KI535306.1_297/1-143","Porphyromonas_uenonis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,934.7,"NZ_KI535306.1_295/4-517","Porphyromonas_uenonis_methylmalonyl-CoA-decarboxylaseAlpha",847,"NZ_AXVC01000026.1_10/15-713","Porphyromonas_uenonis_methylmalonyl-CoA-mutase",220.4,"NZ_KI535306.1_294/1-134","Porphyromonas_uenonis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Prevotella_brevis",NA,NA,NA,NA,NA,NA,592.5,"NZ_JHXG01000017.1_24/5-382","Prevotella_brevis_methylmalonyl-CoA-decarboxylaseBeta",172.1,"NZ_JHXG01000010.1_83/1-144","Prevotella_brevis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,909.7,"NZ_JHXG01000010.1_81/6-521","Prevotella_brevis_methylmalonyl-CoA-decarboxylaseAlpha",849.8,"NZ_JHXG01000008.1_87/22-703","Prevotella_brevis_methylmalonyl-CoA-mutase",220.4,"NZ_JHXG01000010.1_80/9-146","Prevotella_brevis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Prevotella_ruminicola",NA,NA,NA,NA,NA,NA,589,"NZ_CP071890.1_2478/6-384","Prevotella_ruminicola_methylmalonyl-CoA-decarboxylaseBeta",178,"NZ_CP071890.1_63/1-142","Prevotella_ruminicola_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,907.4,"NZ_CP071890.1_65/6-521","Prevotella_ruminicola_methylmalonyl-CoA-decarboxylaseAlpha",847.9,"NZ_CP071890.1_2483/24-703","Prevotella_ruminicola_methylmalonyl-CoA-mutase",217.2,"NZ_CP071890.1_66/1-136","Prevotella_ruminicola_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Propionibacterium_acidipropionici",171.9,"NZ_CP031057.1_2904/1-120","Propionibacterium_acidipropionici_methylmalonyl-CoA-carboxyltransferase13S",1023.7,"NZ_CP031057.1_2907/1-497","Propionibacterium_acidipropionici_methylmalonyl-CoA-carboxyltransferase5S",NA,NA,NA,NA,NA,NA,906.6,"NZ_CP031057.1_2906/11-524","Propionibacterium_acidipropionici_methylmalonyl-CoA-carboxyltransferase12S",NA,NA,NA,791.6,"NZ_CP031057.1_2545/22-719","Propionibacterium_acidipropionici_methylmalonyl-CoA-mutase",176.3,"NZ_CP031057.1_2002/3-152","Propionibacterium_acidipropionici_methylmalonyl-CoA-epimerase","WWC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Propionibacterium_acnes",175.6,"NC_021085.1_1989/1-119","Propionibacterium_acnes_methylmalonyl-CoA-carboxyltransferase13S",1051.3,"NC_021085.1_1992/1-497","Propionibacterium_acnes_methylmalonyl-CoA-carboxyltransferase5S",NA,NA,NA,NA,NA,NA,930.9,"NC_021085.1_1991/11-524","Propionibacterium_acnes_methylmalonyl-CoA-carboxyltransferase12S",NA,NA,NA,802.5,"NC_021085.1_1586/28-722","Propionibacterium_acnes_methylmalonyl-CoA-mutase",174.6,"NC_021085.1_1095/3-151","Propionibacterium_acnes_methylmalonyl-CoA-epimerase","WWC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Propionibacterium_avidum",176.9,"NC_021064.1_195/1-119","Propionibacterium_avidum_methylmalonyl-CoA-carboxyltransferase13S",1047.5,"NC_021064.1_192/1-497","Propionibacterium_avidum_methylmalonyl-CoA-carboxyltransferase5S",NA,NA,NA,NA,NA,NA,930.2,"NC_021064.1_193/11-524","Propionibacterium_avidum_methylmalonyl-CoA-carboxyltransferase12S",NA,NA,NA,803.1,"NC_021064.1_1551/24-722","Propionibacterium_avidum_methylmalonyl-CoA-mutase",174.4,"NC_021064.1_1092/3-151","Propionibacterium_avidum_methylmalonyl-CoA-epimerase","WWC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Propionibacterium_freudenreichii",173.1,"NZ_LT593929.1_446/1-122","Propionibacterium_freudenreichii_methylmalonyl-CoA-carboxyltransferase13S",1003.9,"NZ_LT593929.1_443/10-505","Propionibacterium_freudenreichii_methylmalonyl-CoA-carboxyltransferase5S",NA,NA,NA,NA,NA,NA,904.4,"NZ_LT593929.1_444/11-523","Propionibacterium_freudenreichii_methylmalonyl-CoA-carboxyltransferase12S",NA,NA,NA,792,"NZ_LT593929.1_1457/36-716","Propionibacterium_freudenreichii_methylmalonyl-CoA-mutase",170.5,"NZ_LT593929.1_1184/4-147","Propionibacterium_freudenreichii_methylmalonyl-CoA-epimerase","WWC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Propionibacterium_jensenii",176,"NZ_CP040635.1_411/1-121","Propionibacterium_jensenii_methylmalonyl-CoA-carboxyltransferase13S",1016.5,"NZ_CP040635.1_414/1-497","Propionibacterium_jensenii_methylmalonyl-CoA-carboxyltransferase5S",NA,NA,NA,NA,NA,NA,902.7,"NZ_CP040635.1_413/11-524","Propionibacterium_jensenii_methylmalonyl-CoA-carboxyltransferase12S",NA,NA,NA,795,"NZ_CP040635.1_204/26-713","Propionibacterium_jensenii_methylmalonyl-CoA-mutase",178.8,"NZ_CP040635.1_2156/3-152","Propionibacterium_jensenii_methylmalonyl-CoA-epimerase","WWC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Propionimicrobium_lymphophilum",147.5,"NZ_KE150269.1_353/1-120","Propionimicrobium_lymphophilum_methylmalonyl-CoA-carboxyltransferase13S",998.4,"NZ_KE150269.1_350/14-507","Propionimicrobium_lymphophilum_methylmalonyl-CoA-carboxyltransferase5S",NA,NA,NA,NA,NA,NA,846.4,"NZ_KE150269.1_351/1-517","Propionimicrobium_lymphophilum_methylmalonyl-CoA-carboxyltransferase12S",NA,NA,NA,798.6,"NZ_KE150269.1_1716/34-714","Propionimicrobium_lymphophilum_methylmalonyl-CoA-mutase",160.3,"NZ_KE150269.1_1049/7-144","Propionimicrobium_lymphophilum_methylmalonyl-CoA-epimerase","WWC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Pyramidobacter__piscolens",NA,NA,NA,NA,NA,NA,539.2,"NZ_AP025585.1_1830/4-385","Pyramidobacter__piscolens_methylmalonyl-CoA-decarboxylaseBeta",146.2,"NZ_AP025585.1_1316/1-134","Pyramidobacter__piscolens_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,841.3,"NZ_AP025585.1_1314/8-518","Pyramidobacter__piscolens_methylmalonyl-CoA-decarboxylaseAlpha",841.1,"NZ_AP025585.1_207/12-726","Pyramidobacter__piscolens_methylmalonyl-CoA-mutase",213,"NZ_AP025585.1_1753/1-135","Pyramidobacter__piscolens_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Pyramidobacter_piscolens",NA,NA,NA,NA,NA,NA,539.2,"NZ_AP025585.1_1830/4-385","Pyramidobacter_piscolens_methylmalonyl-CoA-decarboxylaseBeta",146.2,"NZ_AP025585.1_1316/1-134","Pyramidobacter_piscolens_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,841.3,"NZ_AP025585.1_1314/8-518","Pyramidobacter_piscolens_methylmalonyl-CoA-decarboxylaseAlpha",841.1,"NZ_AP025585.1_207/12-726","Pyramidobacter_piscolens_methylmalonyl-CoA-mutase",213,"NZ_AP025585.1_1753/1-135","Pyramidobacter_piscolens_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Romboutsia_lituseburensis",NA,NA,NA,NA,NA,NA,578.5,"NZ_FNGW01000002.1_175/3-375","Romboutsia_lituseburensis_methylmalonyl-CoA-decarboxylaseBeta",130.4,"NZ_FNGW01000002.1_176/3-120","Romboutsia_lituseburensis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,880.6,"NZ_FNGW01000002.1_348/3-515","Romboutsia_lituseburensis_methylmalonyl-CoA-decarboxylaseAlpha",634.4,"NZ_FNGW01000011.1_12/11-548","Romboutsia_lituseburensis_methylmalonyl-CoA-mutase",189.4,"NZ_FNGW01000011.1_9/1-135","Romboutsia_lituseburensis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Selenomonas_noxia",NA,NA,NA,NA,NA,NA,545.6,"NZ_JH376857.1_559/4-374","Selenomonas_noxia_methylmalonyl-CoA-decarboxylaseBeta",157.2,"NZ_JH376857.1_408/1-132","Selenomonas_noxia_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,902.1,"NZ_JH376857.1_410/3-509","Selenomonas_noxia_methylmalonyl-CoA-decarboxylaseAlpha",800.2,"NZ_JH376857.1_517/15-707","Selenomonas_noxia_methylmalonyl-CoA-mutase",199.9,"NZ_JH376857.1_411/1-137","Selenomonas_noxia_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Selenomonas_ruminantium",NA,NA,NA,NA,NA,NA,559,"NZ_AUJE01000018.1_6/4-375","Selenomonas_ruminantium_methylmalonyl-CoA-decarboxylaseBeta",144.5,"NZ_AUJE01000006.1_21/1-127","Selenomonas_ruminantium_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,897.4,"NZ_AUJE01000006.1_19/3-509","Selenomonas_ruminantium_methylmalonyl-CoA-decarboxylaseAlpha",814.9,"NZ_AUJE01000031.1_7/14-706","Selenomonas_ruminantium_methylmalonyl-CoA-mutase",193.2,"NZ_AUJE01000006.1_18/1-137","Selenomonas_ruminantium_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Selenomonas_sputigena",NA,NA,NA,NA,NA,NA,558,"NC_015437.1_1591/4-376","Selenomonas_sputigena_methylmalonyl-CoA-decarboxylaseBeta",146.2,"NC_015437.1_503/1-127","Selenomonas_sputigena_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,897.7,"NC_015437.1_501/3-509","Selenomonas_sputigena_methylmalonyl-CoA-decarboxylaseAlpha",806.7,"NC_015437.1_905/15-701","Selenomonas_sputigena_methylmalonyl-CoA-mutase",195.9,"NC_015437.1_500/1-139","Selenomonas_sputigena_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Tannerella_forsythia",NA,NA,NA,NA,NA,NA,611.2,"NC_016610.1_857/9-385","Tannerella_forsythia_methylmalonyl-CoA-decarboxylaseBeta",189.7,"NC_016610.1_858/1-143","Tannerella_forsythia_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,935.9,"NC_016610.1_860/3-517","Tannerella_forsythia_methylmalonyl-CoA-decarboxylaseAlpha",855.6,"NC_016610.1_2329/14-712","Tannerella_forsythia_methylmalonyl-CoA-mutase",229,"NC_016610.1_861/1-132","Tannerella_forsythia_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Tissierella_praeacuta",NA,NA,NA,NA,NA,NA,594.4,"NZ_UHHZ01000001.1_2453/6-392","Tissierella_praeacuta_methylmalonyl-CoA-decarboxylaseBeta",147.6,"NZ_UHHZ01000001.1_2454/1-133","Tissierella_praeacuta_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,891.7,"NZ_UHHZ01000001.1_2456/2-514","Tissierella_praeacuta_methylmalonyl-CoA-decarboxylaseAlpha",646.4,"NZ_UHHZ01000001.1_2460/13-545","Tissierella_praeacuta_methylmalonyl-CoA-mutase",224.9,"NZ_UHHZ01000001.1_2457/4-132","Tissierella_praeacuta_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
